,date,account_value
379,2023-04-05,969318.3344515611
380,2023-04-06,969831.4304903795
381,2023-04-10,971772.5398043443
382,2023-04-11,974018.0597628404
383,2023-04-12,964771.3697298814
384,2023-04-13,977340.888711815
385,2023-04-14,974539.7461031724
386,2023-04-17,981071.3335512925
387,2023-04-18,983417.5149630357
388,2023-04-19,982641.0567263414
389,2023-04-20,976992.5597628404
390,2023-04-21,985745.3790530015
391,2023-04-24,987865.9525545884
392,2023-04-25,978306.2228945543
393,2023-04-26,971840.251703148
394,2023-04-27,989315.5989168931
395,2023-04-28,993352.9657381822
396,2023-05-01,989347.0238894273
397,2023-05-02,988324.4087771226
398,2023-05-03,980373.5559634019
399,2023-05-04,975639.8109377671
400,2023-05-05,989491.5217074205
401,2023-05-08,989389.6185244371
402,2023-05-09,987579.6412905504
403,2023-05-10,989009.9542330552
404,2023-05-11,992720.9945162584
405,2023-05-12,991010.4153536607
406,2023-05-15,990249.8310793687
407,2023-05-16,983856.6021975328
408,2023-05-17,992886.1741884996
409,2023-05-18,997379.7903536607
410,2023-05-19,993849.4451845933
411,2023-05-22,984332.4894198228
412,2023-05-23,976277.2900637437
413,2023-05-24,971231.8151644517
414,2023-05-25,965259.5787142564
415,2023-05-26,977603.4326113511
416,2023-05-30,974786.6957339097
417,2023-05-31,971164.146524315
418,2023-06-01,976170.8695315171
419,2023-06-02,994125.4088839341
420,2023-06-05,993651.0786989976
421,2023-06-06,996021.7707461168
422,2023-06-07,991057.5527437974
423,2023-06-08,1001672.5966738511
424,2023-06-09,1003345.5791567613
425,2023-06-12,1011605.9193972398
426,2023-06-13,1018872.7157686998
427,2023-06-14,1021674.9888705064
428,2023-06-15,1030157.2302798082
429,2023-06-16,1030032.237451439
430,2023-06-20,1029816.2459658433
431,2023-06-21,1025550.1937350084
432,2023-06-22,1035009.4677523423
433,2023-06-23,1025641.6754702379
434,2023-06-26,1019907.5994967271
435,2023-06-27,1032133.4014529039
436,2023-06-28,1030596.1525820543
437,2023-06-29,1030647.1324862291
