,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,28.97799301147461,19.007999420166016,28.131500244140625,38.44767761230469,13.555999755859375,32.1150016784668,19.007999420166016,28.131500244140625,43.849998474121094,13.555999755859375,32.64250183105469,19.29949951171875,28.47100067138672,44.20000076293945,13.903332710266113,32.060001373291016,18.989500045776367,27.851499557495117,43.65999984741211,13.520000457763672,32.5,19.200000762939453,27.907499313354492,44.130001068115234,13.793333053588867,248059200,50646000,68328000,33807700,58231500
2015-03-02,29.120107650756836,19.283000946044922,28.750999450683594,38.47399139404297,13.155332565307617,32.272499084472656,19.283000946044922,28.750999450683594,43.880001068115234,13.155332565307617,32.56999969482422,19.295000076293945,28.79949951171875,44.189998626708984,13.555999755859375,32.07500076293945,18.974000930786133,28.157499313354492,43.54999923706055,13.055333137512207,32.3125,19.042499542236328,28.350000381469727,43.66999816894531,13.513333320617676,192386800,42784000,50406000,31924000,118831500
2015-03-03,29.181007385253906,19.230499267578125,28.93950080871582,37.94791030883789,13.303999900817871,32.34000015258789,19.230499267578125,28.93950080871582,43.279998779296875,13.303999900817871,32.380001068115234,19.30500030517578,29.042499542236328,43.83000183105469,13.349332809448242,32.022499084472656,19.079999923706055,28.524999618530273,43.09000015258789,13.021332740783691,32.2400016784668,19.197500228881836,28.8174991607666,43.560001373291016,13.120667457580566,151265200,38930000,50526000,31748600,66484500
2015-03-04,28.996034622192383,19.13599967956543,28.916500091552734,37.7550163269043,13.496000289916992,32.1349983215332,19.13599967956543,28.916500091552734,43.060001373291016,13.496000289916992,32.38999938964844,19.395000457763672,29.081499099731445,43.209999084472656,13.501333236694336,32.08000183105469,19.109500885009766,28.625999450683594,42.880001068115234,13.147333145141602,32.275001525878906,19.285499572753906,28.848499298095703,43.0099983215332,13.283332824707031,126665200,45182000,37964000,25748700,63330000
2015-03-05,28.515554428100586,19.39150047302246,29.071500778198242,37.798858642578125,13.375332832336426,31.602500915527344,19.39150047302246,29.071500778198242,43.11000061035156,13.375332832336426,32.1875,19.42099952697754,29.15999984741211,43.2400016784668,13.746000289916992,31.440000534057617,19.194499969482422,28.911500930786133,42.81999969482422,13.34333324432373,32.14500045776367,19.280500411987305,28.981000900268555,43.06999969482422,13.523332595825195,226068400,53870000,35918000,23193500,73155000
2015-03-06,28.558414459228516,19.004499435424805,28.645000457763672,37.14126205444336,12.925333023071289,31.649999618530273,19.004499435424805,28.645000457763672,42.36000061035156,12.925333023071289,32.342498779296875,19.350000381469727,29.138999938964844,43.11000061035156,13.383333206176758,31.565000534057617,18.944000244140625,28.60300064086914,42.150001525878906,12.8100004196167,32.099998474121094,19.275999069213867,29.100000381469727,43.0,13.280667304992676,291368400,52540000,37592000,36248800,100686000
2015-03-09,28.680219650268555,18.92799949645996,28.704999923706055,37.57088088989258,12.725333213806152,31.78499984741211,18.92799949645996,28.704999923706055,42.849998474121094,12.725333213806152,32.39250183105469,18.96649932861328,28.772499084472656,43.130001068115234,12.965999603271484,31.264999389648438,18.763999938964844,28.452499389648438,42.189998626708984,12.550000190734863,31.989999771118164,18.920000076293945,28.54599952697754,42.189998626708984,12.959333419799805,354114000,46228000,23478000,32108000,101050500
2015-03-10,28.086952209472656,18.475500106811523,27.99250030517578,36.851898193359375,12.687999725341797,31.127500534057617,18.475500106811523,27.99250030517578,42.029998779296875,12.687999725341797,31.80500030517578,18.888500213623047,28.488000869750977,42.709999084472656,12.899999618530273,30.950000762939453,18.458999633789062,27.990999221801758,42.029998779296875,12.506667137145996,31.602500915527344,18.872499465942383,28.423999786376953,42.349998474121094,12.564000129699707,275426400,62420000,40080000,39159700,83695500
2015-03-11,27.574886322021484,18.318500518798828,27.784500122070312,36.808082580566406,12.916000366210938,30.559999465942383,18.318500518798828,27.784500122070312,41.97999954223633,12.916000366210938,31.1924991607666,18.667499542236328,28.208999633789062,42.369998931884766,13.078666687011719,30.52750015258789,18.312999725341797,27.77050018310547,41.84000015258789,12.734000205993652,31.1875,18.530500411987305,27.989999771118164,42.310001373291016,12.743332862854004,275756000,49902000,40524000,32215300,74623500
2015-03-12,28.07341194152832,18.711999893188477,28.058500289916992,35.96634292602539,12.73799991607666,31.112499237060547,18.711999893188477,28.058500289916992,41.02000045776367,12.73799991607666,31.225000381469727,18.774999618530273,28.091999053955078,41.650001525878906,12.963333129882812,30.407499313354492,18.375999450683594,27.776500701904297,40.86000061035156,12.649999618530273,30.577499389648438,18.44099998474121,27.923999786376953,41.33000183105469,12.916666984558105,193450800,56200000,35602000,59992500,62239500
