time/total_timesteps,train/learning_rate,train/value_loss,train/n_updates,train/reward,train/entropy_loss,train/std,train/explained_variance,time/fps,time/time_elapsed,train/policy_loss,time/iterations
40000,0.0007,16.516666412353516,7999,0.52174413,-13.24707317352295,1.0577807426452637,0.0,137,290,62.31452560424805,8000
40500,0.0007,7.559897422790527,8099,-3.7845418,-13.246391296386719,1.057428240776062,0.0,137,293,34.63677978515625,8100
41000,0.0007,30.10416030883789,8199,5.161691,-13.237382888793945,1.0562901496887207,0.0,137,297,-57.85003662109375,8200
41500,0.0007,5.706045150756836,8299,1.9919945,-13.206239700317383,1.0529866218566895,5.179643630981445e-05,137,301,-1.6942733526229858,8300
42000,0.0007,2.406480550765991,8399,0.76816237,-13.221514701843262,1.0545717477798462,-1.1920928955078125e-07,137,305,-7.187507629394531,8400
42500,0.0007,3.4784629344940186,8499,-0.60104704,-13.247995376586914,1.0578761100769043,0.0,137,308,24.103351593017578,8500
43000,0.0007,12.3965425491333,8599,2.3575728,-13.244672775268555,1.0576560497283936,0.0,138,311,-35.16847610473633,8600
43500,0.0007,8.14881706237793,8699,-0.6793367,-13.2841157913208,1.0617777109146118,0.0,137,316,16.23891830444336,8700
44000,0.0007,50.5449104309082,8799,-1.3488181,-13.2748384475708,1.0610747337341309,1.1920928955078125e-07,137,319,92.69862365722656,8800
44500,0.0007,14.649127006530762,8899,-4.5389194,-13.264921188354492,1.0598863363265991,0.0,137,322,46.624122619628906,8900
45000,0.0007,2.286558151245117,8999,1.1734056,-13.295865058898926,1.0632820129394531,0.0,138,325,-16.823537826538086,9000
45500,0.0007,0.38405290246009827,9099,0.1643956,-13.30695629119873,1.065073847770691,0.0,137,330,8.070221900939941,9100
46000,0.0007,0.6751285791397095,9199,1.2274747,-13.301353454589844,1.0643467903137207,0.0,137,333,1.0687830448150635,9200
46500,0.0007,5.987144470214844,9299,-1.360082,-13.304166793823242,1.0645923614501953,6.74128532409668e-05,138,336,19.731016159057617,9300
47000,0.0007,5.140664100646973,9399,0.032441325,-13.311948776245117,1.0653371810913086,-3.7550926208496094e-05,138,340,-24.838359832763672,9400
47500,0.0007,10.849478721618652,9499,-1.5432099,-13.29527759552002,1.0633354187011719,-1.1920928955078125e-07,137,344,32.79973602294922,9500
48000,0.0007,47.89250946044922,9599,1.954011,-13.295442581176758,1.0632989406585693,0.0,137,348,61.859519958496094,9600
48500,0.0007,6.675972938537598,9699,-0.29230946,-13.27588939666748,1.0614345073699951,0.02292764186859131,138,351,-22.641881942749023,9700
49000,0.0007,21.470312118530273,9799,1.0795282,-13.279962539672852,1.0617660284042358,0.00466388463973999,138,354,-58.46516036987305,9800
49500,0.0007,1.3497564792633057,9899,0.6619938,-13.313375473022461,1.0661766529083252,-0.1077430248260498,138,357,15.061610221862793,9900
50000,0.0007,1.488016128540039,9999,1.277278,-13.31163501739502,1.0661654472351074,0.002796351909637451,137,362,12.526764869689941,10000
